OBJECTID,BPID,Miles,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type
18,41,4.6,Green,Path,Orange Line (West),Canoga Av,White Oak Av,24569.1597142,2005-10-29T00:00:00.000Z,,Bike Path
19,44,1.08,Green,Path,Oxnard St,White Oak Av,Balboa Bl,5502.17143115,2005-01-01T00:00:00.000Z,,Bike Path
20,50,0.8,Green,Path,Palos Verdes Dr,100' E/O Western Av,Gaffey St,3405.0873429,2005-01-01T00:00:00.000Z,,Bike Path
21,52,0.41,Green,Path,Plummer St,Shoup Av,Hunt Club Ln,1982.00712916,2005-01-01T00:00:00.000Z,,Bike Path
22,53,0.14,Green,Path,Sale Av,Oxnard St,Calvert St,664.78240329,2005-01-01T00:00:00.000Z,,Bike Path
23,55,1.91,Green,Path,San Fernando Rd Phase I Path,Roxford St,Hubbard St,9941.23954545,2005-01-01T00:00:00.000Z,,Bike Path
24,56,0.52,Green,Path,Tujunga Wash Path,Oxnard St,Burbank Bl,2429.09933305,2005-01-01T00:00:00.000Z,,Bike Path
25,61,1.51,Green,Path,Venice Beach,Washington Bl,Santa Monica City Limit,8857.45118911,2005-01-01T00:00:00.000Z,,Bike Path
26,62,2.64,Green,Path,Victory Bl,White Oak Av,405 Fwy,13193.2706749,2005-01-01T00:00:00.000Z,,Bike Path
27,63,0.57,Green,Path,Westwood Park,Wilshire Bl/Veteran Av,Sepulveda Bl JNO Ohio Av,1981.84059088,2005-01-01T00:00:00.000Z,,Bike Path
28,64,0.09,Green,Path,White Oak Av,N bank of LA River,Victory Bl,330.06292631,2005-01-01T00:00:00.000Z,,Bike Path
29,65,1.37,Green,Path,Will Rogers State Beach,Temescal Canyon Rd,Santa Monica City Limit,6946.991646,2005-01-01T00:00:00.000Z,,Bike Path
30,66,1.28,Green,Path,Woodley Av,Burbank Bl,Victory Bl,6187.55202002,2005-01-01T00:00:00.000Z,,Bike Path
31,73,0.05,Backbone,Route,16th St (San Pedro) (E/B),Palos Verdes St,Beacon St,280.25542175,2005-01-01T00:00:00.000Z,,Bike Route
32,76,0.04,Backbone,Route,21st St (San Pedro),Mesa St,Crescent Av,266.61993421,2005-01-01T00:00:00.000Z,,Bike Route
33,78,0.1,Backbone,Route,22nd St (San Pedro),Pacific Av,Mesa St,669.97249367,2005-01-01T00:00:00.000Z,,Bike Route
34,96,0.03,Backbone,Route,7th St (San Pedro),Beacon St,Harbor Bl,168.02217182,2005-01-01T00:00:00.000Z,,Bike Route
35,99,0.64,Backbone,Lane,98th St,Vermont Av,Flower St,6964.63545068,2005-01-01T00:00:00.000Z,,Bike Lane
36,100,0.4,Backbone,Lane,98th St,Western Av,Halldale Av,3976.06700889,2005-01-01T00:00:00.000Z,,Bike Lane
37,101,0.78,Backbone,Lane,98th St,260' W/O Broadway,Avalon Bl,8352.93976358,2005-01-01T00:00:00.000Z,,Bike Lane
38,102,0.7,Backbone,Route,9th St (San Pedro),Gaffey St,Beacon St,3616.2512887,2005-01-01T00:00:00.000Z,,Bike Route
39,110,1.31,Backbone,Lane,Anaheim St,Henry Ford Av,"9th St/ ""I"" St (Long Beach)",6399.52894504,2005-01-01T00:00:00.000Z,,Bike Lane
40,128,1.05,Backbone,Lane,Balboa Bl,940' S/O San Fernando Rd,Woodley Av,5572.17693687,2005-01-01T00:00:00.000Z,,Bike Lane
41,130,0.6,Backbone,Route,Beacon St,Crescent Av,7th St (San Pedro),3212.27613868,2005-01-01T00:00:00.000Z,,Bike Route
42,146,0.5,Backbone,Route,Broadway Pl,Broadway,Main St,2811.74873829,2005-01-01T00:00:00.000Z,,Bike Route
43,158,0.5,Backbone,Lane,Canoga Av,Lassen St,Devonshire St,2642.12788354,2005-01-01T00:00:00.000Z,,Bike Lane
44,160,1.1,Backbone,Lane,Central Av,Century Bl,Imperial Hwy,5901.8835356,2005-01-01T00:00:00.000Z,,Bike Lane
45,172,1.06,Backbone,Lane,Chandler Bl,Van Nuys Bl,Woodman Av,11417.8970539,2005-01-01T00:00:00.000Z,,Bike Lane
46,173,2.58,Backbone,Lane,Chandler Bl,Leghorn Av,Vineland Av,25565.6032152,2005-01-01T00:00:00.000Z,,Bike Lane
47,176,0.1,Backbone,Route,Channel St,Gaffey St,Pacific Av,534.19450976,2005-01-01T00:00:00.000Z,,Bike Route
48,183,0.33,Backbone,Route,Crescent Av,21st St (San Pedro),to Palos Verdes St/Beacon St,2021.873454,2005-01-01T00:00:00.000Z,,Bike Route
49,184,0.8,Backbone,Lane,Crystal Springs Dr,Zoo Dr  (S Jog),Griffith Park Dr,4270.1919581,2005-01-01T00:00:00.000Z,,Bike Lane
50,185,1.6,Backbone,Route,Crystal Springs Dr,Griffith Park Dr,Los Feliz Bl,16227.3660587,2005-01-01T00:00:00.000Z,,Bike Route
51,188,1.28,Backbone,Lane,Cypress Av,Verdugo Rd,Pepper Av,6761.21557741,2005-01-01T00:00:00.000Z,,Bike Lane
52,200,4,Backbone,Lane,Devonshire St,Topanga Canyon Bl,Reseda Bl,21138.9521763,2005-01-01T00:00:00.000Z,,Bike Lane
53,202,1.22,Backbone,Lane,Eagle Rock Bl,Westdale Av,Verdugo Rd,10177.8601856,2005-01-01T00:00:00.000Z,,Bike Lane
54,213,3.68,Backbone,Lane,Fallbrook Av,Roscoe Bl,Ventura Bl,19416.6400361,2005-01-01T00:00:00.000Z,,Bike Lane
55,214,2.3,Backbone,Route,Figueroa St,State Dr,Olympic Bl,11913.0660955,2005-01-01T00:00:00.000Z,,Bike Route
56,215,0.5,Backbone,Route,Figueroa St,San Fernando Rd,Cypress Av,2721.26945234,2005-01-01T00:00:00.000Z,,Bike Route
57,216,0.1,Backbone,Route,Figueroa St,Av 43,Av 45,798.24396948,2005-01-01T00:00:00.000Z,,Bike Route
58,232,1.96,Backbone,Lane,Forest Lawn Dr,Barham Bl,Zoo Dr,12079.842467,2005-01-01T00:00:00.000Z,,Bike Lane
59,237,0.46,Backbone,Lane,Front St,Pacific Av,I-110 Fwy N/B On-Ramp,2520.11029421,2005-01-01T00:00:00.000Z,,Bike Lane
60,241,2,Backbone,Lane,Gaffey St,Anaheim St,Channel St,10559.8847296,2005-01-01T00:00:00.000Z,,Bike Lane
61,248,6.2,Backbone,Lane,Glenoaks Bl,Van Nuys Bl,Cohasset St,42816.1535791,2005-01-01T00:00:00.000Z,,Bike Lane
62,249,0.39,Backbone,Lane,Grand Ave,Vista Del Mar,Loma Vista St,2047.54212432,2005-01-01T00:00:00.000Z,,Bike Lane
63,250,1.74,Backbone,Lane,Griffith Park Bl,Los Feliz Bl,Lucile Av,9187.11181764,2005-01-01T00:00:00.000Z,,Bike Lane
64,269,0.33,Backbone,Lane,Imperial Hwy,Vista Del Mar,Pershing Dr,3517.88529986,2005-01-01T00:00:00.000Z,,Bike Lane
65,270,2.53,Backbone,Lane,Imperial Hwy,2000' E/O Pershing Dr,Aviation Bl,27022.1411304,2005-01-01T00:00:00.000Z,,Bike Lane
66,273,1.38,Backbone,Lane,John S Gibson Bl,Channel St,Figueroa St,13422.8089642,2005-01-01T00:00:00.000Z,,Bike Lane
67,281,2.39,Backbone,Lane,La Tuna Canyon Rd,Sunland Bl,3500' e/o Elben Av,6256.55679218,2008-05-07T00:00:00.000Z,,Bike Lane
68,290,1.5,Backbone,Lane,Laurel Canyon Bl,Riverside Dr,Oxnard,7929.93217482,2005-01-01T00:00:00.000Z,,Bike Lane
69,296,0.6,Backbone,Lane,Lincoln Bl,Jefferson Bl,LMU Dr,3011.77743707,2005-01-01T00:00:00.000Z,,Bike Lane
70,309,1.32,Backbone,Lane,Manchester Av,Lincoln Bl,Sepulveda Bl,14028.7629788,2005-01-01T00:00:00.000Z,,Bike Lane
71,310,1,Backbone,Lane,Martin Luther King Jr Bl,Rodeo Rd,Marlton Av,8070.82437275,2011-05-01T00:00:00.000Z,,Bike Lane
72,314,0.06,Backbone,Route,Mesa St,22nd St,21st St (San Pedro),330.01131849,2005-01-01T00:00:00.000Z,,Bike Route
73,315,0.6,Backbone,Lane,Miraleste Dr,989' N/O Village Way,Ninth St,3609.22430314,2005-01-01T00:00:00.000Z,,Bike Lane
74,322,0.52,Backbone,Lane,Motor Av,Pico Bl,Monte Mar Dr,7727.26958607,2005-01-01T00:00:00.000Z,,Bike Lane
75,323,0.3,Backbone,Lane,Motor Av,Manning Av,National Bl,1745.04274237,2005-01-01T00:00:00.000Z,,Bike Lane
76,326,1.32,Backbone,Lane,Mulholland Dr,Calabasas Rd,1000' w/o San Feliciano Dr,13226.4280267,2005-01-01T00:00:00.000Z,,Bike Lane
77,327,0.44,Backbone,Lane,Myra Av,Fountain Av,Santa Monica Bl,2153.94036085,2009-08-05T00:00:00.000Z,,Bike Lane
78,332,0.3,Backbone,Route,Normandie Av,Vermont Av,Pacific Coast Hwy,1864.90125301,2005-01-01T00:00:00.000Z,,Bike Route
79,335,0.5,Backbone,Lane,Normandie Av,Lomita Bl,Pacific Coast Hwy,2863.01351214,2005-01-01T00:00:00.000Z,,Bike Lane
80,342,0.3,Backbone,Route,Pacific Ave,Front St,Channel St,1460.37165,2005-01-01T00:00:00.000Z,,Bike Route
81,343,1.19,Backbone,Lane,Pacific Ave,22nd St,Shepard St,6282.53935068,2005-01-01T00:00:00.000Z,,Bike Lane
82,345,0.07,Backbone,Route,Palos Verdes St (N/B),Crescent Av,16th St (San Pedro),329.91566181,2005-01-01T00:00:00.000Z,,Bike Route
83,355,0.85,Backbone,Lane,Platt Av,Sherman Way,Victory Bl,4362.32638602,2005-01-01T00:00:00.000Z,,Bike Lane
84,365,1.1,Backbone,Lane,Reseda Bl,Valerio St,Roscoe Bl,5811.61289624,2011-03-19T00:00:00.000Z,,Bike Lane
85,369,0.1,Backbone,Route,Rinaldi St,Laurel Canyon Bl,Amboy Av,790.36066469,2005-01-01T00:00:00.000Z,,Bike Route
86,376,0.75,Backbone,Lane,Riverside Dr,Tyrone Av,Woodman Av,3962.39846865,2005-01-01T00:00:00.000Z,,Bike Lane
87,377,0.25,Backbone,Lane,Riverside Dr,Sunnyslope Av,Fulton Av,1320.29893034,2005-01-01T00:00:00.000Z,,Bike Lane
88,378,1,Backbone,Lane,Riverside Dr,Coldwater Canyon Av,Laurel Cyn Bl,5231.45035523,2005-01-01T00:00:00.000Z,,Bike Lane
89,384,2.22,Backbone,Lane,Roscoe Bl,Valley Circle Bl,535' w/o Topanga Cyn Bl,11730.6032577,2005-01-01T00:00:00.000Z,,Bike Lane
90,385,1.02,Backbone,Lane,Roscoe Bl,Whitsett Av/Arleta Dr, Lankershim Bl,5383.80910303,2005-01-01T00:00:00.000Z,,Bike Lane
91,386,0.5,Backbone,Route,Roscoe Bl,Topanga Canyon Bl,Canoga Av,2579.28479197,2005-01-01T00:00:00.000Z,,Bike Route
92,387,0.03,Backbone,Route,Rossmore Av,Arden Pl,Melrose Av,136.04440714,2005-01-01T00:00:00.000Z,,Bike Route
93,397,1.03,Backbone,Lane,San Vicente Bl,26th St,Bundy Dr,10867.2985573,2005-01-01T00:00:00.000Z,,Bike Lane
94,401,1.72,Backbone,Lane,Santa Monica Bl,Sepulveda Bl,310' w/o Av of the Stars,18001.2655416,2007-06-30T00:00:00.000Z,,Bike Lane
95,410,2.59,Backbone,Lane,Sepulveda Bl,300' N/O Sherman Oaks Av,Skirball Center Dr,13891.2726599,2005-01-01T00:00:00.000Z,,Bike Lane
96,411,0.2,Backbone,Route,Sepulveda Bl,Ohio Av,Santa Monica Bl,1231.66176687,2005-01-01T00:00:00.000Z,,Bike Route
97,412,1.47,Backbone,Lane,Sepulveda Bl,Centinela Av,Manchester Av,7818.588837,2005-01-01T00:00:00.000Z,,Bike Lane
98,418,1.89,Backbone,Lane,Sherman Wy,Sherman Wy/Platt Av,420' w/o Topanga Cyn Bl,9957.29579503,2005-01-01T00:00:00.000Z,,Bike Lane
99,419,1.51,Backbone,Lane,Sherman Wy,Laurel Cyn Bl,Vineland Av,7962.82530951,2005-01-01T00:00:00.000Z,,Bike Lane
100,431,2.55,Backbone,Lane,Sunset Bl,Fountain Av,Douglas St,13472.8178565,2005-01-01T00:00:00.000Z,,Bike Lane
101,445,4.91,Backbone,Lane,Valley Circle Bl,Roscoe Bl,Av San Luis,32444.3293465,2005-01-01T00:00:00.000Z,,Bike Lane
102,452,9.1,Backbone,Lane,Venice Bl,Venice Wy,Crenshaw Bl (E/B)/La Fayette Rd (W/B),93817.6080113,2005-01-01T00:00:00.000Z,,Bike Lane
103,455,0.2,Backbone,Route,Vermont Av,Anaheim St,Normandie Av,989.60770477,2005-01-01T00:00:00.000Z,,Bike Route
104,456,0.7,Backbone,Route,Vermont Av,Jefferson Bl,39th St,3645.15183206,2005-01-01T00:00:00.000Z,,Bike Route
105,467,1.88,Backbone,Lane,Victory Bl,Valley Circle Bl,Fallbrook Av,9230.61621052,2005-01-01T00:00:00.000Z,,Bike Lane
106,475,0.75,Backbone,Lane,Washington Bl,Pacific Av,Mildred Av,4002.22370188,2005-01-01T00:00:00.000Z,,Bike Lane
107,479,2.11,Backbone,Lane,Wentworth St,Sheldon St,McBroom St (Wheatland),11098.045609,2010-07-01T00:00:00.000Z,,Bike Lane
108,483,2.37,Backbone,Lane,Westchester Pkwy,Pershing Dr,Sepulveda Wwy,25755.2717474,2005-01-01T00:00:00.000Z,,Bike Lane
109,487,0.5,Backbone,Route,Western Av,Paseo Del Mar,25th St (San Pedro),2829.51589632,2005-01-01T00:00:00.000Z,,Bike Route
110,492,0.2,Backbone,Lane,Western Heritage Wy,Zoo Dr (N Jog),Zoo Dr (S Jog),1879.3868318,2005-01-01T00:00:00.000Z,,Bike Lane
111,496,0.52,Backbone,Lane,Westwood Bl,Wellworth Av,350' n/o Santa Monica Bl,2786.2771791,2005-01-01T00:00:00.000Z,,Bike Lane
112,502,0.4,Backbone,Lane,White Oak Av,Victory Bl,Oxnard St,2357.44824153,2005-01-01T00:00:00.000Z,,Bike Lane
113,512,2.3,Backbone,Lane,Winnetka Av,Gault St,Nordhoff St,11863.8334789,2010-07-01T00:00:00.000Z,,Bike Lane
114,518,1.3,Backbone,Lane,York Bl,Eagle Rock Bl,Av 55,7064.77111628,2010-11-19T00:00:00.000Z,,Bike Lane
115,522,1.9,Backbone,Lane,Zoo Dr,Forest Lawn Dr,Western Heritage Wy,10190.9418,2005-01-01T00:00:00.000Z,,Bike Lane
116,581,0.25,Neighborhood,Lane,30th St,McClintock Av,University Av,1261.97712343,2005-01-01T00:00:00.000Z,,Bike Lane
117,589,2.9,Neighborhood,Route,39th St,Buckingham Rd,Vermont Av,14970.6932088,2005-01-01T00:00:00.000Z,,Bike Route
118,671,0.75,Neighborhood,Lane,92nd St,Firth Bl/Compton Av,Miner St,3921.18898025,2005-01-01T00:00:00.000Z,,Bike Lane
119,679,1.4,Neighborhood,Lane,9th St (San Pedro),Miraleste Dr,Gaffey St,8279.11237805,2005-01-01T00:00:00.000Z,,Bike Lane
120,705,0.4,Neighborhood,Route,Alumni Av,Eagle Rock Bl,Campus Dr,2111.91615225,2005-01-01T00:00:00.000Z,,Bike Route
121,727,0.67,Neighborhood,Lane,Av 50,Monte Vista St,Irvington Pl,3433.47943481,2005-01-01T00:00:00.000Z,,Bike Lane
122,728,0.6,Neighborhood,Route,Av 50,Irvington Pl,Stratford Rd,2908.23619733,2005-01-01T00:00:00.000Z,,Bike Route
123,738,0.09,Neighborhood,Route,Av 63,Repton St,Meridian St,488.89029815,2005-01-01T00:00:00.000Z,,Bike Route
124,745,1.11,Neighborhood,Lane,Avalon Bl,L St,246th St,5856.08322421,2005-01-01T00:00:00.000Z,,Bike Lane
125,763,2.2,Neighborhood,Route,Barrington Av,Federal Av/Indianapolis St,Ohio Av,11726.7190703,2005-01-01T00:00:00.000Z,,Bike Route
126,772,0.81,Neighborhood,Lane,Bell Cyn Bl,Ventura County  Line,Valley Circle Bl,4271.33545588,2005-01-01T00:00:00.000Z,,Bike Lane
127,797,0.6,Neighborhood,Lane,Bluff Creek Dr,Lincoln Bl,Dawn Creek,5003.01934451,2005-01-01T00:00:00.000Z,,Bike Lane
128,830,0.67,Neighborhood,Lane,Burbank Bl,Valerie Av,Platt Av/Burbank Bl,4339.81175805,2005-01-01T00:00:00.000Z,,Bike Lane
129,839,0.3,Neighborhood,Route,Campus Rd,Alumni Av,Stratford Rd,1550.67922326,2005-01-01T00:00:00.000Z,,Bike Route
130,842,0.06,Neighborhood,Route,Capistrano Av,Miranda St,Hatteras Av,295.53335444,2005-01-01T00:00:00.000Z,,Bike Route
131,918,1.4,Neighborhood,Lane,Corbin Av,Porter Ranch Rd.,Rinaldi St,4065.51615014,2005-01-01T00:00:00.000Z,,Bike Lane
132,934,0.4,Neighborhood,Route,Culver Bl,Pacific Av,Nicholson St,1914.67361346,2005-01-01T00:00:00.000Z,,Bike Route
133,1057,0.12,Neighborhood,Lane,Gayley Av,Le Conte Av,Weyburn Av,1360.65939893,2005-01-01T00:00:00.000Z,,Bike Lane
134,1081,0.56,Neighborhood,Lane,Grand View Bl,Palms Bl,Venice Bl,3011.36247,2005-01-01T00:00:00.000Z,,Bike Lane
135,1115,0.6,Neighborhood,Route,Hayvenhurst Av,Ventura Bl,Burbank Bl,3437.92787615,2005-01-01T00:00:00.000Z,,Bike Route
136,1140,1.39,Neighborhood,Lane,Hoover St,Venice Bl,Jefferson Bl,7462.27909514,2005-01-01T00:00:00.000Z,,Bike Lane
137,1141,1.64,Neighborhood,Lane,Hoover St,120th St,98th St,8557.01243504,2009-02-05T00:00:00.000Z,,Bike Lane
138,1142,4.4,Neighborhood,Route,Hoover St,98th St,MLK Jr Bl,23210.6254909,2005-01-01T00:00:00.000Z,,Bike Route
139,1159,0.43,Neighborhood,Lane,Ingomar St,Valley Circle Bl,Platt Av,2294.74372381,2005-01-01T00:00:00.000Z,,Bike Lane
140,1189,0.53,Neighborhood,Lane,L St,Harbor Park Bike Path,Figueroa Pl,4008.81552647,2005-01-01T00:00:00.000Z,,Bike Lane
141,1190,0.05,Neighborhood,Route,L St,Figueroa Pl,Figueroa St,273.55662625,2005-01-01T00:00:00.000Z,,Bike Route
142,1209,0.1,Neighborhood,Route,Lassen St,Orange Line Bikeway (W/O Old Depot Plaza Rd),Canoga Av,490.80623503,2005-01-01T00:00:00.000Z,,Bike Route
143,1211,0.5,Neighborhood,Lane,Laurel Canyon Bl,Crestknoll Dr,Polk St,2606.83175127,2005-01-01T00:00:00.000Z,,Bike Lane
144,1215,0.42,Neighborhood,Lane,Le Conte Av,Gayley Av,Hilgard Av,2188.96903137,2005-01-01T00:00:00.000Z,,Bike Lane
145,1246,0.5,Neighborhood,Lane,Louise Av,Devonshire St,Lassen St,2640.50405835,2010-11-19T00:00:00.000Z,,Bike Lane
146,1258,0.2,Neighborhood,Route,Malta St,Shanley Av,Av 50,841.49524839,2005-01-01T00:00:00.000Z,,Bike Route
147,1271,0.7,Neighborhood,Route,Marmion Way,Av 45,Shanley Av,3605.8386326,2005-01-01T00:00:00.000Z,,Bike Route
148,1274,1,Neighborhood,Lane,Martin Luther King Jr Bl,Main St,Central Av,5308.57902467,2005-01-01T00:00:00.000Z,,Bike Lane
149,1276,0.9,Neighborhood,Lane,Mason Av,Trentino Ln,Celtic St,4626.44387726,2005-01-01T00:00:00.000Z,,Bike Lane
150,1277,0.5,Neighborhood,Lane,Mason Av,Sesnon Bl,Northern City Limits,2681.58775829,2005-01-01T00:00:00.000Z,,Bike Lane
151,1287,0.21,Neighborhood,Lane,McClintock Av,Jefferson Bl,30th St,981.58801884,2005-01-01T00:00:00.000Z,,Bike Lane
152,1297,0.9,Neighborhood,Route,McLaughlin Av,Federal Av/Indianapolis St,Venice Bl,4773.18515724,2005-01-01T00:00:00.000Z,,Bike Route
153,1305,1.6,Neighborhood,Route,Meridian St,Av 50,Av 63,8574.4897097,2005-01-01T00:00:00.000Z,,Bike Route
154,1317,0.25,Neighborhood,Lane,Miner St,Crescent Av,22nd St,1326.9440823,2005-01-01T00:00:00.000Z,,Bike Lane
155,1327,0.5,Neighborhood,Route,Montana Av,Sepulveda Bl,Veteran Av,2429.64985697,2005-01-01T00:00:00.000Z,,Bike Route
156,1341,0.07,Neighborhood,Lane,Mulholland Hwy,Mulholland Dr,Southern City Limits,863.75250636,2005-01-01T00:00:00.000Z,,Bike Lane
157,1351,0.4,Neighborhood,Route,National Bl,Overland Av,Motor Av,2115.01629929,2005-01-01T00:00:00.000Z,,Bike Route
158,1380,0.4,Neighborhood,Lane,Ohio Av (E/B Only),Purdue Av,Sepulveda Bl,1972.56395663,2005-01-01T00:00:00.000Z,,Bike Lane
159,1383,0.1,Neighborhood,Route,Oliver Vickery Circle Wy,Stephen M White Dr,Cabrillo Beach,788.55098726,2005-01-01T00:00:00.000Z,,Bike Route
160,1394,2.2,Neighborhood,Route,Osborne St,Woodman Av,San Fernando Rd,11716.7511598,2005-01-01T00:00:00.000Z,,Bike Route
161,1408,0.05,Neighborhood,Lane,Pacific Av (Venice) (N/B Only),S Venice Bl,N Venice Bl,236.31614511,2005-01-01T00:00:00.000Z,,Bike Lane
162,1409,0.3,Neighborhood,Lane,Pacific Promenade,Playa Vista Dr,Seabluff Dr,1477.0374552,2005-01-01T00:00:00.000Z,,Bike Lane
163,1414,0.05,Neighborhood,Lane,Para Way,Runway Rd,Pacific Promenade,257.00030139,2005-01-01T00:00:00.000Z,,Bike Lane
164,1424,1.74,Neighborhood,Lane,Pershing Dr,Westchester Pkwy,Imperial Hwy,15865.4127105,2006-10-13T00:00:00.000Z,,Bike Lane
165,1430,1.06,Neighborhood,Lane,Platt Av,Ingomar St,Sherman Way,5601.16798008,2005-01-01T00:00:00.000Z,,Bike Lane
166,1431,0.92,Neighborhood,Lane,Platt Av,Victory Bl,Burbank Bl/Platt Av,4997.17085815,2005-01-01T00:00:00.000Z,,Bike Lane
167,1433,0.3,Neighborhood,Lane,Playa Vista Dr,Jefferson Bl,Bluff Creek Dr,3691.15565557,2005-01-01T00:00:00.000Z,,Bike Lane
168,1440,0.2,Neighborhood,Lane,Plummer St,Reseda Bl,Etiwanda Av,1320.76914673,2010-03-21T00:00:00.000Z,,Bike Lane
169,1441,1.27,Neighborhood,Lane,Plummer St,Winnetka Av,Vanalden Av,6645.44810435,2005-01-01T00:00:00.000Z,,Bike Lane
170,1442,1.18,Neighborhood,Lane,Plummer St,Zelzah Av,Balboa Bl,6281.34198984,2005-01-01T00:00:00.000Z,,Bike Lane
171,1443,3.3,Neighborhood,Route,Plummer St,Balboa Bl,Woodman Av,17277.0819071,2005-01-01T00:00:00.000Z,,Bike Route
172,1444,0.7,Neighborhood,Route,Plummer St,Vanalden Av,Reseda Bl,3962.7521149,2005-01-01T00:00:00.000Z,,Bike Route
173,1445,1,Neighborhood,Route,Plummer St,De Soto Av,Winnetka Av,5244.62676566,2005-01-01T00:00:00.000Z,,Bike Route
174,1447,0.32,Neighborhood,Lane,Polk St,Sunrise Ridge Rd,Laurel Canyon Bl,1699.91607225,2005-01-01T00:00:00.000Z,,Bike Lane
175,1449,0.8,Neighborhood,Lane,Porter Ranch Dr,Corbin Av,Sesnon Bl,4229.94309357,2005-01-01T00:00:00.000Z,,Bike Lane
176,1477,0.2,Neighborhood,Route,Repton St,Av 63,Av 66,1178.62826458,2005-01-01T00:00:00.000Z,,Bike Route
177,1478,1.62,Neighborhood,Lane,Reseda Bl,Rinaldi St,Sesnon Bl,8581.01217633,2005-01-01T00:00:00.000Z,,Bike Lane
178,1498,0.89,Neighborhood,Lane,Rose Av,185' E/O Lincoln Bl,Walgrove Av,4515.55869482,2006-06-30T00:00:00.000Z,,Bike Lane
179,1510,0.2,Neighborhood,Lane,Runway Rd,Dawn Creek,Para Way,1135.11536369,2005-01-01T00:00:00.000Z,,Bike Lane
180,1526,0.4,Neighborhood,Lane,San Pedro St,115th St,120th St,2322.4217443,2010-09-19T00:00:00.000Z,,Bike Lane
181,1545,0.05,Neighborhood,Lane,Seabluff Dr,Runway Rd,Pacific Promenade,257.25793211,2005-01-01T00:00:00.000Z,,Bike Lane
182,1555,1.79,Neighborhood,Lane,Sesnon Bl,Mason Av,Tampa Av,9916.9002975,2005-01-01T00:00:00.000Z,,Bike Lane
183,1556,0.1,Neighborhood,Route,Shanley Av,Marmion Wy,Malta St,596.14363784,2005-01-01T00:00:00.000Z,,Bike Route
184,1586,0.2,Neighborhood,Route,Stephen M White Dr,Pacific Av,Oliver Vickery Circle Wy,750.92527896,2005-01-01T00:00:00.000Z,,Bike Route
185,1592,0.2,Neighborhood,Route,Stratford Rd,Campus Dr,Av 50,1258.33021468,2005-01-01T00:00:00.000Z,,Bike Route
186,1597,1.03,Neighborhood,Lane,Strathern St,Coldwater Canyon Av,Laurel Cyn Bl,5402.63053949,2005-01-01T00:00:00.000Z,,Bike Lane
187,1605,1.78,Neighborhood,Lane,Tampa Av,Sesnon Bl,Rinaldi St,9431.67012356,2005-01-01T00:00:00.000Z,,Bike Lane
188,1611,1.04,Neighborhood,Lane,Temescal Canyon Rd,Pacific Coast Hwy,Sunset Bl,6925.58719222,2005-01-01T00:00:00.000Z,,Bike Lane
189,1640,0.08,Neighborhood,Lane,University Av,28th St,30th St,426.40219051,2005-01-01T00:00:00.000Z,,Bike Lane
