X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-117.881284056702626,34.090857967008269,143607792,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Covina - Covina Public Works Yard,534 North Barranca Avenue,,Covina,CA,"7am-4:30pm M-Th, 7am-3:30pm alternating Fridays",626-858-7294,,,Operational,,4652,,91723,http://egis3.lacounty.gov/lms/?p=4652,publish,34.090858,-117.881284,2010-11-01T19:50:56.000Z,,6597614.24100222,1855466.59413332
-117.83030505726984,34.000146967379273,143607793,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,South Coast Air Quality Management District,21865 E Copley Drive,,Diamond Bar,CA,"8am-5pm T-F, contact station to obtain card key",432-694-0202  4,,,Operational,,4653,,91765,http://egis3.lacounty.gov/lms/?p=4653,publish,34.000147,-117.830305,2010-11-01T19:50:56.000Z,,6613104.98856397,1822477.2746134
-118.119023056123211,33.933087966964685,143607794,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - Downey Base,9240 E Firestone Boulevard,,Downey,CA,24 hours daily,800-427-2000,,,Operational,,4654,,90241,http://egis3.lacounty.gov/lms/?p=4654,publish,33.933088,-118.119023,2010-11-01T19:50:56.000Z,,6525565.48057248,1798051.0262219
-118.152787056763955,34.690910965951225,143607795,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Antelope Valley School Bus Transit,670 West 7Th Street,,Lancaster,CA,24 hours daily,661-940-4551,,,Operational,,4655,,93534,http://egis3.lacounty.gov/lms/?p=4655,publish,34.690911,-118.152787,2010-11-01T19:50:56.000Z,,6515742.58552013,2073852.46641581
-118.130712057804672,34.68971096623487,143607796,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Southern California Gas Company,44416 N Division Street,,Lancaster,CA,"24 hours daily, Pinnacle card required",432-686-6487,,,Operational,,4656,,93535,http://egis3.lacounty.gov/lms/?p=4656,publish,34.689711,-118.130712,2010-11-01T19:50:56.000Z,,6522377.75236788,2073406.39250481
-118.196296056083725,33.769409967210414,143607797,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Downtown Long Beach,400 West Broadway,,Long Beach,CA,24 hours daily,562-493-2804,,,Operational,,4658,,90802,http://egis3.lacounty.gov/lms/?p=4658,publish,33.76941,-118.196296,2010-11-01T19:50:56.000Z,,6502008.92171456,1738521.33753873
-118.163488056208976,33.81183396757303,143607798,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Long Beach Airport,2400 East Spring Street,,Long Beach,CA,24 hours daily,562-493-2804,,,Operational,,4659,,90806,http://egis3.lacounty.gov/lms/?p=4659,publish,33.811834,-118.163488,2010-11-01T19:50:56.000Z,,6512005.55362414,1753942.74501607
-118.378404055832462,33.940805966927044,143607799,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Los Angeles Airport - Clean Energy,10400 Aviation Boulevard,,Los Angeles,CA,24 hours daily,562-493-2804,,,Operational,,4660,,90045,http://egis3.lacounty.gov/lms/?p=4660,publish,33.940806,-118.378404,2010-11-01T19:50:56.000Z,,6446894.76422656,1801054.43885022
-118.23531905601655,34.064596967110447,143607800,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Downtown Los Angeles - Clean Energy,1055 N Alameda Street,,Los Angeles,CA,24 hours daily,562-493-2804,,,Operational,,4661,,90012,http://egis3.lacounty.gov/lms/?p=4661,publish,34.064597,-118.235319,2010-11-01T19:50:56.000Z,,6490399.93541814,1845971.91003872
-118.137752057105942,34.591885966012782,143607801,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Robertson'S Palmdale Honda,455 Auto Vista Drive,,Palmdale,CA,"7am-7pm M-F, 7am-6pm Sat",661-265-6000,,,Operational,,4662,,93551,http://egis3.lacounty.gov/lms/?p=4662,publish,34.591886,-118.137752,2010-11-01T19:50:56.000Z,,6520212.71339089,2037807.96206139
-118.077075056485597,34.150084966556612,143607802,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Pasadena - Clean Energy,3528 E Foothill Boulevard,,Pasadena,CA,24 hours daily,562-493-2804,,,Operational,,4663,,91107,http://egis3.lacounty.gov/lms/?p=4663,publish,34.150085,-118.077075,2010-11-01T19:50:56.000Z,,6538350.67809914,1877008.10813682
-118.105179056750913,34.149625966570525,143607803,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Weststart-Calstart,2181 E Foothill Boulevard,,Pasadena,CA,,626-744-5600,,,Operational,,4664,,91107,http://egis3.lacounty.gov/lms/?p=4664,publish,34.149626,-118.105179,2010-11-01T19:50:56.000Z,,6529847.41918705,1876848.77807489
-118.106208056792767,33.968056966887474,143607804,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - Pico Rivera Base,8101 S Rosemead Boulevard,,Pico Rivera,CA,6am-5pm M-F,800-427-2000,,,Operational,,4665,,90660,http://egis3.lacounty.gov/lms/?p=4665,publish,33.968057,-118.106208,2010-11-01T19:50:56.000Z,,6529466.2713273,1810772.64546365
-117.724096057082377,34.058005966947995,143607805,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Foothill Transit - City Of Pomona,200 East End Avenue,,Pomona,CA,24 hours daily,562-493-2804,,,Operational,,4666,,91766,http://egis3.lacounty.gov/lms/?p=4666,publish,34.058006,-117.724096,2010-11-01T19:50:56.000Z,,6645239.13984673,1843604.59292297
-118.293888056390117,33.758850967045497,143607806,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - San Pedro Base,755 W Capitol Drive,,San Pedro,CA,24 hours daily,800-427-2000,,,Operational,,4667,,90731,http://egis3.lacounty.gov/lms/?p=4667,publish,33.758851,-118.293888,2010-11-01T19:50:56.000Z,,6472336.0391313,1734750.95006639
-118.558731056161776,34.400321965848093,143607807,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Santa Clarita/Clean Energy,28273 Alta Vista Drive,,Santa Clarita,CA,24 hours daily,661-295-6300,,,Operational,,4668,,91355,http://egis3.lacounty.gov/lms/?p=4668,publish,34.400322,-118.558731,2010-11-01T19:50:56.000Z,,6393128.9022703,1968533.48020381
-118.46765205632623,34.031416966889559,143607808,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socal Gas - Clean Energy,1701 Stewart Street,,Santa Monica,CA,24 hours daily,562-493-2804,,,Operational,,4669,,90404,http://egis3.lacounty.gov/lms/?p=4669,publish,34.031417,-118.467652,2010-11-01T19:50:56.000Z,,6419978.10775813,1834143.2414389
-118.492331056034445,34.201051966092805,143607809,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Socalgas - Van Nuys Base,16461 Sherman Way,,Van Nuys,CA,24 hours daily,800-427-2000,,,Operational,,4670,,91406,http://egis3.lacounty.gov/lms/?p=4670,publish,34.201052,-118.492331,2010-11-01T19:50:56.000Z,,6412803.1286698,1895911.5529414
-118.044730056169669,33.954797967014201,143607810,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Whittier School District,13200 Mulberry Drive,,Whittier,CA,"24 hours daily, SoCalGas Card required",800-427-2000,,,Operational,,4671,,90602,http://egis3.lacounty.gov/lms/?p=4671,publish,33.954798,-118.04473,2010-11-01T19:50:56.000Z,,6548105.29015155,1805933.41596889
-118.28414624610275,33.807242260064179,143663035,LA County Sanitation Districts,,Transportation,Alternative Fuel,Compressed Natural Gas Fueling Stations,Sanitation Districts of Los Angeles County,JWPCP Compressed Natural Gas Fueling Facility,23924 Figueroa Street,,Carson,CA,24 hours daily,562-493-2804,,www.lacsd.org,,,4650,"The JWPCP CNG facility provides an alternative fueling facility for local customers such as the City of Carson, Palos Verdes Peninsula Transit Authority, Yellow Cab, and the general public. It is a self service station that is open 24-hours per day. Purchases can be made by credit card only.",90745,http://egis3.lacounty.gov/lms/?p=4650,publish,33.80724229,-118.28414619,2011-05-02T11:22:50.000Z,,6475347.07018273,1752353.31938915
-118.148425056179391,34.087917966825508,143607811,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Costco,2207 West Commonwealth Avenue,,Alhambra,CA,24 hours daily,,,,Operational,,4672,,91803,http://egis3.lacounty.gov/lms/?p=4672,publish,34.087918,-118.148425,2010-11-01T19:50:56.000Z,,6516729.77973998,1854408.62249598
-118.050238057145847,34.143572966901132,143607812,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Los Angeles County Arboretum,301 N Baldwin Avenue,,Arcadia,CA,24 hours daily,,,,Operational,,4673,,91006,http://egis3.lacounty.gov/lms/?p=4673,publish,34.143573,-118.050238,2010-11-01T19:50:56.000Z,,6546469.23863363,1874633.13093139
-118.02737205657715,34.144407967126753,143607813,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Clean Fuel Connection Incorporated,127 La Porte,,Arcadia,CA,24 hours daily,,,,Operational,,4674,,91006,http://egis3.lacounty.gov/lms/?p=4674,publish,34.144408,-118.027372,2010-11-01T19:50:56.000Z,,6553388.14933647,1874934.33210064
-117.925553057494113,34.133442966810669,143607814,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Costco,1220 W Foothill Boulevard,,Azusa,CA,24 hours daily,626-812-7901,,,Operational,,4675,,91702,http://egis3.lacounty.gov/lms/?p=4675,publish,34.133443,-117.925553,2010-11-01T19:50:56.000Z,,6584199.33935438,1870951.18422706
-117.960552056771377,34.08513996738688,143607815,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Baldwin Park City Hall,14403 Pacific Avenue,,Baldwin Park,CA,24 hours daily,,,,Operational,,4676,,91706,http://egis3.lacounty.gov/lms/?p=4676,publish,34.08514,-117.960552,2010-11-01T19:50:56.000Z,,6573614.90776739,1853366.82274231
-117.957610057076806,34.085837967460591,143607816,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Baldwin Park Metrolink - Lot 2,3875 Downing Street,,Baldwin Park,CA,24 hours daily,800-266-6883,,,Operational,,4677,,91706,http://egis3.lacounty.gov/lms/?p=4677,publish,34.085838,-117.95761,2010-11-01T19:50:56.000Z,,6574505.61760014,1853621.20084248
-118.412122056487263,34.067034966313486,143607817,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Beverly Hilton Hotel  - Valet,9876 Wilshire Boulevard,,Beverly Hills,CA,"24 hours daily, pay lot",,,,Operational,,4678,,90210,http://egis3.lacounty.gov/lms/?p=4678,publish,34.067035,-118.412122,2010-11-01T19:50:56.000Z,,6436855.98902856,1847031.58836555
-118.397030056360975,34.07578396692778,143607818,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Hilton Hotels And Resorts,9336 Civic Center Drive,,Beverly Hills,CA,24 hours daily,,,,Operational,,4679,,90210,http://egis3.lacounty.gov/lms/?p=4679,publish,34.075784,-118.39703,2010-11-01T19:50:56.000Z,,6441439.26988822,1850197.09548597
-118.34896005651197,34.195693966302841,143607819,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Burbank Bob Hope Airport - Lot B,2606 Hollywood Way,,Burbank,CA,"24 hours daily, pay lot",,,,Operational,,4680,,91505,http://egis3.lacounty.gov/lms/?p=4680,publish,34.195694,-118.34896,2010-11-01T19:50:56.000Z,,6456147.55116713,1893780.2757079
-118.30791505650194,34.181611966242414,143607820,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Burbank,275 E Olive Avenue,,Burbank,CA,"7am-9pm M-F, 7am-7pm Sat",818-238-3575,,,Operational,,4681,,91505,http://egis3.lacounty.gov/lms/?p=4681,publish,34.181612,-118.307915,2010-11-01T19:50:56.000Z,,6468543.49848805,1888615.05080214
-118.311472056638721,34.184852966987094,143607821,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Burbank Mall,501 N Third Street,,Burbank,CA,24 hours daily,,,,Operational,,4682,,91502,http://egis3.lacounty.gov/lms/?p=4682,publish,34.184853,-118.311472,2010-11-01T19:50:56.000Z,,6467471.3657898,1889797.81844972
-118.323262056141488,34.183670966612134,143607822,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Costco,1051 Burbank Boulevard,,Burbank,CA,24 hours daily,,,,Operational,,4683,,91506,http://egis3.lacounty.gov/lms/?p=4683,publish,34.183671,-118.323262,2010-11-01T19:50:56.000Z,,6463904.32666406,1889378.92722714
-118.594804055389602,34.219684965909984,143607823,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Costco,21300 Roscoe Boulevard,,Canoga Park,CA,24 hours daily,,,,Operational,,4684,,91304,http://egis3.lacounty.gov/lms/?p=4684,publish,34.219685,-118.594804,2010-11-01T19:50:56.000Z,,6381858.6000078,1902859.87598698
-118.261381056512008,33.831630967284461,143607824,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Carson - Community Center,801 East Carson Street,,Carson,CA,24 hours daily,,,,Operational,,4685,,90745,http://egis3.lacounty.gov/lms/?p=4685,publish,33.831631,-118.261381,2010-11-01T19:50:56.000Z,,6482286.17014964,1761210.21932623
-118.599385055709945,34.257205966052659,143607825,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Chatsworth Metrolink Station,21510 Devonshire Street,Chatsworth,Chatsworth,CA,24 hours daily,,,,Operational,,4686,,91311,http://egis3.lacounty.gov/lms/?p=4686,publish,34.257206,-118.599385,2010-11-01T19:50:56.000Z,,6380555.18233906,1916522.43101089
-118.39781005583805,33.982596967243566,143607826,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Radisson Hotel Westside,6161 Centinella Avenue,,Culver City,CA,24 hours daily,,,,Operational,,4687,,90230,http://egis3.lacounty.gov/lms/?p=4687,publish,33.982597,-118.39781,2010-11-01T19:50:56.000Z,,6441068.85494664,1816285.68955564
-117.83030505726984,34.000146967379273,143607827,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,South Coast Air Quality Manangement District,21865 E Copley Drive,,Diamond Bar,CA,24 hours daily,909-396-2045,,,Operational,,4688,,91765,http://egis3.lacounty.gov/lms/?p=4688,publish,34.000147,-117.830305,2010-11-01T19:50:56.000Z,,6613104.98856397,1822477.2746134
-118.156626056537405,33.948157966794852,143607828,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Office Max - Home Depot,7075 Firestone Boulevard,,Downey,CA,24 hours daily,,,,Operational,,4689,,90240,http://egis3.lacounty.gov/lms/?p=4689,publish,33.948158,-118.156626,2010-11-01T19:50:56.000Z,,6514167.40920855,1803550.96502514
-118.061476057272472,34.069007967367639,143607829,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,California Air Resources Board,9540 Telstar Avenue,,El Monte,CA,24 hours daily,,,,Operational,,4690,,91731,http://egis3.lacounty.gov/lms/?p=4690,publish,34.069008,-118.061476,2010-11-01T19:50:56.000Z,,6543052.23365663,1847499.42863722
-118.036173057318706,34.076471966737707,143607830,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,El Monte Metrolink Station,10925 Railroad Avenue,,El Monte,CA,24 hours daily,,,,Operational,,4691,,91731,http://egis3.lacounty.gov/lms/?p=4691,publish,34.076472,-118.036173,2010-11-01T19:50:56.000Z,,6550716.2603233,1850211.9986714
-118.400607056268441,33.930643966868608,143607831,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Embassy Suites - Los Angeles International Airport South,1440 E Imperial Avenue,,El Segundo,CA,24 hours daily,,,,Operational,,4692,,90245,http://egis3.lacounty.gov/lms/?p=4692,publish,33.930644,-118.400607,2010-11-01T19:50:56.000Z,,6440145.55954914,1797382.38648306
-118.491094056163774,34.157354966585032,143607832,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Encino Market Place,16431 Ventura Boulevard,,Encino,CA,24 hours daily,,,,Operational,,4694,,91436,http://egis3.lacounty.gov/lms/?p=4694,publish,34.157355,-118.491094,2010-11-01T19:50:56.000Z,,6413099.46830022,1880007.78291173
-118.499684056339973,34.17215296605108,143607833,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Encino Glen Golf Course,16821 Burbank Boulevard,,Encino,CA,24 hours daily,,,,Operational,,4695,,91436,http://egis3.lacounty.gov/lms/?p=4695,publish,34.172153,-118.499684,2010-11-01T19:50:56.000Z,,6410527.52396905,1885405.78491098
-117.865220057512744,34.135996967481702,143607834,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Glendora City Hall Parking Lot,116 E Foothill Boulevard,,Glendora,CA,24 hours daily,,,,Operational,,4697,,91741,http://egis3.lacounty.gov/lms/?p=4697,publish,34.135997,-117.86522,2010-11-01T19:50:56.000Z,,6602455.94457339,1871899.63410181
-118.294129055607371,33.788742967664874,143607835,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Kaiser Permanente - Harbor City,25825 Vermont Avenue,Harbor City,Harbor City,CA,24 hours daily,,,,Operational,,4698,,90710,http://egis3.lacounty.gov/lms/?p=4698,publish,33.788743,-118.294129,2010-11-01T19:50:56.000Z,,6472294.61368921,1745629.67141914
-118.335122056155072,34.101869966769257,143607836,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Cherokee-Whitley Garage,1710 N Cherokee Avenue,,Hollywood,CA,"24 hours daily, pay lot",,,,Operational,,4699,,90028,http://egis3.lacounty.gov/lms/?p=4699,publish,34.10187,-118.335122,2010-11-01T19:50:56.000Z,,6460218.20378697,1859621.95491706
-118.293004056137775,34.098178966758745,143607837,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Kaiser Permanente - Sunset,4747 Sunset Boulevard,Los Feliz,Hollywood,CA,24 hours daily,,,,Operational,,4700,,90027,http://egis3.lacounty.gov/lms/?p=4700,publish,34.098179,-118.293004,2010-11-01T19:50:56.000Z,,6472964.71241464,1858238.89862806
-117.923230057463812,33.99251596725729,143607838,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Costco,17550 Castleton Street,,Industry,CA,24 hours daily,626-302-1873,,,Operational,,4701,,91748,http://egis3.lacounty.gov/lms/?p=4701,publish,33.992516,-117.92323,2010-11-01T19:50:56.000Z,,6584941.49370997,1819665.66507915
-117.933910057533041,34.123168967302675,143607839,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,Southern California Edison - Irwindale Service Station,6090 North Irwindale Avenue,,Irwindale,CA,24 hours daily,800-4EV-INFO,,,Operational,,4702,,91702,http://egis3.lacounty.gov/lms/?p=4702,publish,34.123169,-117.93391,2010-11-01T19:50:56.000Z,,6581672.81848881,1867210.51913622
-118.145101057482208,34.699009965611928,143607840,HSIP Freedom Alternative_Fueling_Stations,,Transportation,Alternative Fuel,Electricity Fueling Stations,National Transportation Atlas Database (NTAD) 2009,City Of Lancaster - City Hall,44933 Fern Avenue,,Lancaster,CA,24 hours daily,661-723-6000,,,Operational,,4704,,93534,http://egis3.lacounty.gov/lms/?p=4704,publish,34.69901,-118.145101,2010-11-01T19:50:56.000Z,,6518057.24788556,2076796.51728623
